country_iso3,year_month,acled_event_count,acled_fatalities,acled_peak_fatalities,acled_battle_count,acled_explosion_count,acled_violence_count,acled_protest_count,acled_riot_count
MWI,1993-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1993-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1993-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1993-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1993-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1994-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1995-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1996-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1997-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1998-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1999-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,2000-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
